Logistics SAPI shipments Event Timestamp Time,Logistics SAPI shipments Shippingaddress Countrycode,Logistics SAPI shipments Shippingaddress Locality
2017-02-09 09:06:15,GB,Thatcham
2017-02-09 09:06:16,GB,York
2017-02-09 09:06:17,US,Glen Allen
2017-02-09 09:06:17,IN,Jamshedpur
2017-02-09 09:06:18,GB,Newcastle upon tyne
2017-02-09 09:06:20,US,Edina
2017-02-09 09:06:20,US,Waterbury
2017-02-09 09:06:21,GB,London
2017-02-09 09:06:21,GB,Thornhill
2017-02-09 09:06:21,US,Gilmer
2017-02-09 09:06:22,FR,tremblay-en-france
2017-02-09 09:06:25,GB,Aberdeenshire
2017-02-09 09:06:26,GB,caernarfon
2017-02-09 09:06:28,US,Davisburg
2017-02-09 09:06:30,IN,aizawl
2017-02-09 09:06:30,GB,Snodland
2017-02-09 09:06:32,US,Alabaster
2017-02-09 09:06:33,GB,Abingdon
2017-02-09 09:06:33,CH,Weesen
2017-02-09 09:06:34,FR,CHITENAY
2017-02-09 09:06:34,GB,hemel hempstead
2017-02-09 09:06:35,US,Savannah
2017-02-09 09:06:36,US,Fenwick
2017-02-09 09:06:37,US,Frisco
2017-02-09 09:06:44,IN,BANGALORE
2017-02-09 09:06:44,GB,wigan
2017-02-09 09:06:44,GB,Cambridge
2017-02-09 09:06:46,GB,LONDON
2017-02-09 09:06:47,IN,Pune
2017-02-09 09:06:48,GB,Duns
2017-02-09 09:06:49,US,North Hollywood
2017-02-09 09:06:51,US,Lockport
2017-02-09 09:06:52,GB,Boston
2017-02-09 09:06:52,GB,Harrogate
2017-02-09 09:06:54,GB,harrogate
2017-02-09 09:06:54,IN,villupuram
2017-02-09 09:06:57,US,Savannah
2017-02-09 09:06:58,GB,porth
2017-02-09 09:07:00,US,Woodland Hills
2017-02-09 09:07:01,GB,Winchester
2017-02-09 09:07:01,GB,Canleigh
2017-02-09 09:07:02,GB,Darley Dale
2017-02-09 09:07:03,CA,Toronto
2017-02-09 09:07:03,US,Inglewood
2017-02-09 09:07:05,FR,Sainte Luce sur Loire
2017-02-09 09:07:06,US,Bethany
2017-02-09 09:07:07,US,Helena
2017-02-09 09:07:09,FR,saint cloud
2017-02-09 09:07:09,US,Hollister
2017-02-09 09:07:12,GB,dagenham
2017-02-09 09:07:13,IN,patna
2017-02-09 09:07:17,US,Fernandina Beach
2017-02-09 09:07:19,GB,Handforth
2017-02-09 09:07:19,FR,cartignies
2017-02-09 09:07:23,GB,Bradford
2017-02-09 09:07:24,GB,Cheshire 
2017-02-09 09:07:26,IN,KARUR
2017-02-09 09:07:27,IN,Borivali (E)  Mumbai
2017-02-09 09:07:30,US,Plantation
2017-02-09 09:07:32,GB,Liverpool
2017-02-09 09:07:34,FR,EVREUX
2017-02-09 09:07:34,US,Arden Hills
2017-02-09 09:07:35,US,Fort Lauderdale
2017-02-09 09:07:35,NO,Trondheim
2017-02-09 09:07:36,GB,HORSHAM
2017-02-09 09:07:39,US,Macclenny
2017-02-09 09:07:40,US,BIG PINE KEY
2017-02-09 09:07:41,GB,London
2017-02-09 09:07:44,CA,ste cecile de milton
2017-02-09 09:07:44,GB,Dunstable
2017-02-09 09:07:50,CA,Brechin
2017-02-09 09:07:51,GB,"Kings lynn, norfolk"
2017-02-09 09:07:56,US,Pine
2017-02-09 09:07:58,US,Frisco
2017-02-09 09:07:59,CA,STONY PLAIN
2017-02-09 09:08:03,US,Paulsboro
2017-02-09 09:08:03,GB,Wisbech
2017-02-09 09:08:08,IN,patna
2017-02-09 09:08:08,US,Corpus Christi
2017-02-09 09:08:11,US,Fort Lauderdale
2017-02-09 09:08:18,GB,London
2017-02-09 09:08:18,US,Louisville
2017-02-09 09:08:18,US,Watchung
2017-02-09 09:08:21,GB,Preston
2017-02-09 09:08:23,US,Reston
2017-02-09 09:08:23,US,Woodbridge
2017-02-09 09:08:26,IN,CHANDRAGIRI
2017-02-09 09:08:26,GB,Bolton
2017-02-09 09:08:33,US,Atlanta
2017-02-09 09:08:34,US,Greenville
2017-02-09 09:08:38,IN,Nagpur
2017-02-09 09:08:38,CA,Surrey
2017-02-09 09:08:42,GB,Manchester
2017-02-09 09:08:45,US,Blue Springs
2017-02-09 09:08:46,GB,London
2017-02-09 09:08:46,GB,Falmouth
2017-02-09 09:08:48,GB,Livingston
2017-02-09 09:08:48,GB,london
2017-02-09 09:08:54,GB,Liverpool
2017-02-09 09:08:56,GB,stafford
2017-02-09 09:08:57,US,Owings Mills
2017-02-09 09:08:58,GB,Abergele
2017-02-09 09:09:00,FR,LE MAY SUR EVRE
2017-02-09 09:09:01,GB,Bradford
2017-02-09 09:09:02,IN,VARANASI
2017-02-09 09:09:02,US,Pembroke Pines
2017-02-09 09:09:03,GB,Stafford
2017-02-09 09:09:05,GB,Newmarket
2017-02-09 09:09:09,US,Centennial
2017-02-09 09:09:09,IN,Bangalore
2017-02-09 09:09:09,FR,rennes
2017-02-09 09:09:10,US,Parkersburg
2017-02-09 09:09:11,IN,mumbai
2017-02-09 09:09:12,IN,Bangalore
2017-02-09 09:09:14,AT,Linz
2017-02-09 09:09:18,GB,London
2017-02-09 09:09:20,GB,London
2017-02-09 09:09:21,IN,pune
2017-02-09 09:09:23,US,Peyton
2017-02-09 09:09:24,CA,Calgary
2017-02-09 09:09:25,GB,MACCLESFIELD
2017-02-09 09:09:26,GB,Edinburgh
2017-02-09 09:09:29,CH,LOCARNO
2017-02-09 09:09:29,GB,St Andrews
2017-02-09 09:09:32,IN,Mumbai
2017-02-09 09:09:33,GB,cambridge
2017-02-09 09:09:34,GB,Penrith
2017-02-09 09:09:35,US,Menomonee Falls
2017-02-09 09:09:40,FR,Le Petit-Pressigny
2017-02-09 09:09:41,US,ATOKA
2017-02-09 09:09:46,GB,BELFAST
2017-02-09 09:09:48,GB,Lancashire
2017-02-09 09:09:48,IN,MUMBAI
2017-02-09 09:09:53,GB,Banstead
2017-02-09 09:09:57,US,San Jose
2017-02-09 09:09:58,GB,Clanfield
2017-02-09 09:09:58,IN,JASPUR
2017-02-09 09:09:59,IN,Mysore
2017-02-09 09:10:01,IN,Vasai
2017-02-09 09:10:03,FR,semens
2017-02-09 09:10:04,US,milford
2017-02-09 09:10:05,FR,SAINTE SAVINE
2017-02-09 09:10:08,GB,Airdrie
2017-02-09 09:10:08,GB,Thirsk
2017-02-09 09:10:12,FR,oytier saint oblas
2017-02-09 09:10:14,US,Kearney
2017-02-09 09:10:15,IN,Hyderabad
2017-02-09 09:10:16,CA,Granby
2017-02-09 09:10:16,US,Peoria
2017-02-09 09:10:18,US,Marlton
2017-02-09 09:10:20,GB,North Howden
2017-02-09 09:10:21,US,Winston-Salem
2017-02-09 09:10:21,GB,"Cotgrave, Nottingham"
2017-02-09 09:10:26,IN,Ambernath
2017-02-09 09:10:27,FR,Thorens-glières
2017-02-09 09:10:28,US,Lake Forest
2017-02-09 09:10:29,FR,Coincy
2017-02-09 09:10:29,IN,Ahmedabad
2017-02-09 09:10:30,GB,Dechmont
2017-02-09 09:10:31,CA,Edmonton
2017-02-09 09:10:34,GB,London
2017-02-09 09:10:35,CH,Cortaillod
2017-02-09 09:10:37,IN,MUMBAI
2017-02-09 09:10:38,US,dequincy
2017-02-09 09:10:41,US,Blue Springs
2017-02-09 09:10:42,IN,Kanpur
2017-02-09 09:10:42,US,Kamas
2017-02-09 09:10:42,FR,MIREFLEURS
2017-02-09 09:10:44,US,Las Vegas
2017-02-09 09:10:45,GB,Brackley
2017-02-09 09:10:48,FR,SAINT ETIENNE
2017-02-09 09:10:48,IN,Mumbai 400064
2017-02-09 09:10:52,IN,kolkata
2017-02-09 09:10:52,FR,Digne les bains
2017-02-09 09:10:54,FR,Rodez
2017-02-09 09:10:56,IN,kolkata
2017-02-09 09:10:56,US,Fredericksburg
2017-02-09 09:10:56,US,New York
2017-02-09 09:10:58,GB,Merthyr Tydfil
2017-02-09 09:11:01,IN,kanpur
2017-02-09 09:11:01,US,lewisville
